date,ACWI
2016-02-07,42.3673
2016-02-14,41.5995
2016-02-21,42.9452
2016-02-28,43.3249
2016-03-06,45.0421
2016-03-13,45.7025
2016-03-20,46.2309
2016-03-27,45.5952
2016-04-03,46.2474
2016-04-10,45.8594
2016-04-17,46.9739
2016-04-24,47.4775
2016-05-01,46.8996
2016-05-08,46.2144
2016-05-15,45.9007
2016-05-22,46.1401
2016-05-29,47.172
2016-06-05,47.3371
2016-06-12,46.817
2016-06-19,46.3052
2016-06-26,45.4191
2016-07-03,47.1338
2016-07-10,47.2258
2016-07-17,48.2713
2016-07-24,48.4805
2016-07-31,48.8067
2016-08-07,48.882
2016-08-14,49.4507
2016-08-21,49.4926
2016-08-28,49.0409
2016-09-04,49.5344
2016-09-11,48.5808
2016-09-18,48.3717
2016-09-25,49.4591
2016-10-02,49.434
2016-10-09,49.1496
2016-10-16,48.5223
2016-10-23,48.882
2016-10-30,48.4721
2016-11-06,47.46
2016-11-13,48.447
2016-11-20,48.5306
2016-11-27,49.1747
2016-12-04,48.8401
2016-12-11,50.4461
2016-12-18,50.053
2016-12-25,50.1137
2017-01-01,49.9533
2017-01-08,50.9748
2017-01-15,51.245
2017-01-22,51.0677
2017-01-29,51.6587
2017-02-05,51.7937
2017-02-12,52.1145
2017-02-19,52.6971
2017-02-26,52.8321
2017-03-05,53.1361
2017-03-12,53.001
2017-03-19,53.6173
2017-03-26,53.2543
2017-04-02,53.4062
2017-04-09,53.2711
2017-04-16,52.8406
2017-04-23,53.2036
2017-04-30,54.2673
2017-05-07,54.8921
2017-05-14,54.8836
2017-05-21,55.0862
2017-05-28,55.5759
2017-06-04,56.2344
2017-06-11,55.9136
2017-06-18,55.9474
2017-06-25,55.9504
2017-07-02,55.9077
2017-07-09,55.7796
2017-07-16,56.9577
2017-07-23,57.2907
2017-07-30,57.3675
2017-08-06,57.6492
2017-08-13,56.6419
2017-08-20,56.6333
2017-08-27,57.2394
2017-09-03,57.8029
2017-09-10,57.7858
2017-09-17,58.537
2017-09-24,58.6395
2017-10-01,58.7505
2017-10-08,59.2456
2017-10-15,59.7578
2017-10-22,60.031
2017-10-29,59.92
2017-11-05,60.2615
2017-11-12,60.0822
2017-11-19,60.0822
2017-11-26,60.9103
2017-12-03,61.0725
2017-12-10,61.1322
2017-12-17,61.4396
2017-12-24,62.0387
2017-12-31,62.1163
2018-01-07,63.8741
2018-01-14,64.796
2018-01-21,65.4164
2018-01-28,66.8123
2018-02-04,64.1842
2018-02-11,60.8669
2018-02-18,63.65
2018-02-25,63.7534
2018-03-04,62.2197
2018-03-11,64.0464
2018-03-18,63.4605
2018-03-25,60.393
2018-04-01,61.7802
2018-04-08,61.022
2018-04-15,62.2283
2018-04-22,62.4351
2018-04-29,62.392
2018-05-06,62.2283
2018-05-13,63.4949
2018-05-20,63.0296
2018-05-27,62.8228
2018-06-03,62.9693
2018-06-10,63.719
2018-06-17,63.4432
2018-06-24,62.7467
2018-07-01,61.9626
2018-07-08,62.6247
2018-07-15,63.3043
2018-07-22,63.4176
2018-07-29,63.9055
2018-08-05,63.9229
2018-08-12,63.2956
2018-08-19,63.2172
2018-08-26,64.0274
2018-09-02,64.3062
2018-09-09,63.1126
2018-09-16,64.0187
2018-09-23,65.0729
2018-09-30,64.6983
2018-10-07,63.557
2018-10-14,61.1872
2018-10-21,61.0478
