date,GOOGL,TGT,NKE,V,GM
2016-02-07,34.922,51.6315,50.338,66.7,22.9577
2016-02-14,35.0773,52.3366,49.6776,65.6558,22.29
2016-02-21,35.8325,54.1098,52.2223,66.8203,23.1507
2016-02-28,35.969,58.6814,55.1191,67.9413,23.8345
2016-03-06,36.235,60.7015,54.0797,69.0343,25.2341
2016-03-13,36.9619,61.2552,53.038,66.9137,25.4585
2016-03-20,37.4849,61.8836,55.6069,68.9222,26.0286
2016-03-27,37.4567,61.3824,54.4239,69.2585,25.2142
2016-04-03,38.1926,61.9211,54.371,72.4813,24.8152
2016-04-10,37.6864,60.5144,52.4553,72.8923,23.9193
2016-04-17,38.7052,61.8013,52.5259,74.8074,24.8885
2016-04-24,36.6096,61.5993,52.4641,73.9012,26.2078
2016-05-01,35.1264,59.4819,52.0316,72.1544,25.8983
2016-05-08,35.9849,58.9133,51.5814,72.6028,25.2142
2016-05-15,35.9675,55.277,50.5926,71.9013,24.8559
2016-05-22,35.8127,51.757,49.8599,72.6875,24.8966
2016-05-29,37.0974,51.9379,49.6039,74.5498,25.5644
2016-06-05,36.5148,51.7495,47.3235,74.8118,24.1066
2016-06-12,36.3823,51.169,48.7932,75.0364,23.971
2016-06-19,34.9463,50.8826,47.5537,72.0511,24.1112
2016-06-26,34.001,52.2771,46.5621,70.2355,23.3853
2016-07-03,35.244,52.8048,49.2359,69.7021,23.8307
2016-07-10,35.6177,53.7546,50.2187,71.5176,24.4659
2016-07-17,36.5034,55.0587,51.2369,73.277,25.3815
2016-07-24,37.677,56.4759,50.2276,74.7838,26.5281
2016-07-31,39.2679,56.785,49.1385,73.0431,26.0167
2016-08-07,40.0415,56.491,49.4484,74.999,25.4063
2016-08-14,40.0474,57.1468,49.9797,74.8867,26.0414
2016-08-21,39.6802,53.2775,52.1488,75.4383,26.2559
2016-08-28,39.3612,53.4522,52.2374,75.532,26.0084
2016-09-04,39.5423,53.8017,51.5101,76.8726,26.5281
2016-09-11,39.1259,52.4265,49.1219,76.2445,25.4419
2016-09-18,39.5969,52.6013,48.9888,76.9382,25.8509
2016-09-25,40.4399,52.2517,48.9621,77.3788,26.8108
2016-10-02,39.8991,52.1834,46.7426,77.5288,26.5187
2016-10-09,39.7328,52.4569,45.9791,77.6976,26.9945
2016-10-16,39.9259,51.7503,45.8282,77.2944,26.6021
2016-10-23,40.8915,51.8414,45.9614,77.2007,26.744
2016-10-30,40.6682,52.2973,46.1833,77.0788,26.1431
2016-11-06,38.7597,50.5498,44.3544,75.3351,26.0095
2016-11-13,38.2958,54.212,45.0736,76.7601,28.3968
2016-11-20,38.5052,58.3708,45.3665,75.9225,27.5454
2016-11-27,38.7166,60.2248,45.7394,75.2743,28.5887
2016-12-04,37.934,59.7115,44.9575,71.1315,29.557
2016-12-11,40.1665,59.2901,46.0802,74.3443,31.777
2016-12-18,40.1859,58.7998,45.3674,73.6022,30.6885
2016-12-25,40.0846,56.3099,46.2494,73.4143,30.1147
2017-01-01,39.3229,55.3369,45.2872,73.2922,29.3975
2017-01-08,40.9486,54.7317,48.0313,77.2283,30.3679
2017-01-15,41.2329,53.774,47.1493,76.2513,31.507
2017-01-22,41.0954,49.1084,47.3988,76.8807,31.2285
2017-01-29,41.9321,48.8019,47.3899,78.6937,31.2285
2017-02-05,40.6965,48.8402,46.6504,80.8637,30.6547
2017-02-12,41.4269,50.3571,50.0894,80.6946,29.676
2017-02-19,42.0075,50.8697,50.5616,82.315,31.4057
2017-02-26,42.07,51.4264,51.5506,83.2279,31.1357
2017-03-05,42.133,44.3438,50.6744,83.5667,32.2579
2017-03-12,42.7446,42.8051,50.4331,84.4514,31.3935
2017-03-19,43.2887,41.9778,51.6575,84.9314,30.9673
2017-03-26,41.4413,41.0731,50.3706,83.9432,29.4586
2017-04-02,42.0695,42.6737,49.8075,83.642,30.1405
2017-04-09,41.7867,41.1659,49.2534,83.5197,28.734
2017-04-16,41.6914,41.2819,49.459,83.642,28.4613
2017-04-23,42.6228,42.3566,49.9148,85.7879,28.7681
2017-04-30,45.8765,43.184,49.5215,85.8538,29.5268
2017-05-07,47.1548,44.3206,48.2167,86.6726,28.7852
2017-05-14,47.3959,43.1453,48.4401,87.275,28.6573
2017-05-21,47.3716,43.7615,46.2683,87.1962,27.8902
2017-05-28,49.288,42.5188,47.0012,89.261,28.1885
2017-06-04,49.4295,43.3942,47.5127,90.6565,29.3648
2017-06-11,48.1393,44.4728,47.9432,89.1573,29.595
2017-06-18,47.5686,41.1197,45.8267,88.7896,29.5519
2017-06-25,48.9318,39.6738,47.3961,90.1191,29.4743
2017-07-02,46.1326,40.8696,52.9115,88.4219,30.1034
2017-07-09,46.6849,39.9161,51.9967,88.5539,30.112
2017-07-16,48.4762,41.6043,52.0147,91.3919,31.3272
2017-07-23,49.3163,42.8627,53.7634,93.9094,31.0859
2017-07-30,47.5542,43.8553,52.6155,93.4851,30.8274
2017-08-06,46.932,45.0043,53.593,95.1257,30.3964
2017-08-13,46.1529,43.4958,52.8846,94.3714,30.1034
2017-08-20,45.9589,43.9792,49.2794,96.8075,30.0172
2017-08-27,46.1733,43.4734,48.3378,97.6007,30.6808
2017-09-03,47.2396,44.4296,48.0166,98.1201,32.1977
2017-09-10,46.7146,45.2594,46.9728,98.6207,32.2157
2017-09-17,46.411,47.3853,48.4755,99.4423,33.8526
2017-09-24,46.8064,46.6187,47.9086,99.6878,34.3228
2017-10-01,48.3179,46.6345,46.6578,99.3856,35.1586
2017-10-08,49.3064,45.1409,47.1707,100.7927,39.1203
2017-10-15,50.0125,48.0886,45.8749,102.6153,39.9475
2017-10-22,49.8736,48.8078,47.7466,101.5671,39.7124
2017-10-29,51.2928,47.6224,50.3562,103.6069,38.8678
2017-11-05,52.1026,46.9111,50.1313,105.1651,36.8652
2017-11-12,51.8128,48.5233,50.4732,105.6562,37.1438
2017-11-19,51.4029,46.421,53.2628,103.893,38.2061
2017-11-26,52.4266,44.6166,53.3798,105.9269,38.7111
2017-12-03,50.866,47.5149,54.0637,104.7539,37.257
2017-12-10,52.0723,49.0,55.3457,106.5229,36.9174
2017-12-17,53.1948,49.99,58.4968,107.6771,35.9774
2017-12-24,53.039,52.2097,57.1425,106.6081,36.9174
2017-12-31,52.2718,52.0979,56.4743,107.8663,36.0125
2018-01-07,55.0948,53.1359,57.7654,112.4451,38.6658
2018-01-14,56.1051,61.3198,58.3884,113.6087,38.7185
2018-01-21,56.7427,62.3578,60.6817,116.0778,37.9102
2018-01-28,58.9291,61.4396,61.4311,119.5025,38.2089
2018-02-04,55.5369,58.2459,60.6907,114.3844,36.0213
2018-02-11,51.918,57.8466,59.1288,110.0422,36.4254
2018-02-18,54.3609,60.4416,61.6658,115.4717,36.1004
2018-02-25,55.9781,60.7224,61.5394,116.4951,35.9422
2018-03-04,53.7972,60.513,59.6705,114.4482,32.8848
2018-03-11,57.6032,56.7606,60.0418,117.9924,33.5789
2018-03-18,56.2922,57.1633,59.6886,118.0114,33.6676
2018-03-25,50.9395,54.659,58.5294,110.8756,31.2095
2018-04-01,51.465,55.9071,60.1686,113.3584,32.2478
2018-04-08,50.1157,58.2101,61.1738,111.5389,33.4369
2018-04-15,51.4104,57.59,60.9021,114.4293,34.3687
2018-04-22,53.4588,56.6237,59.8516,117.6987,33.3748
2018-04-29,51.1826,58.661,62.9941,119.4139,33.4103
2018-05-06,52.1527,57.2116,61.6719,121.4514,32.5761
2018-05-13,54.7519,56.5674,61.9707,124.9198,32.7359
2018-05-20,53.0777,61.6679,64.5879,123.3277,33.5345
2018-05-27,53.7942,57.8269,65.4301,124.6091,33.9871
2018-06-03,56.321,59.118,66.0731,124.201,38.3353
2018-06-10,56.2073,63.357,68.0165,127.8933,39.6061
2018-06-17,57.5253,62.7317,68.8701,128.235,39.3018
2018-06-24,58.0225,61.7491,66.6815,128.4533,36.9209
2018-07-01,56.0327,61.8141,72.3572,125.7197,35.2651
2018-07-08,57.3174,62.3582,69.4512,127.2763,35.0503
2018-07-15,59.7657,63.1134,70.2685,132.3355,35.2293
2018-07-22,59.4412,63.1459,69.8871,133.8257,35.2651
2018-07-29,62.1709,65.0705,69.8236,133.56,33.5913
2018-08-05,61.44,66.1424,71.5035,132.7152,33.7704
2018-08-12,62.152,67.1656,73.3107,132.6298,32.75
2018-08-19,60.3329,67.9555,72.4207,134.3487,32.562
2018-08-26,61.37,71.4499,74.8726,137.077,32.1772
